timestamp,PktIn,KBIn,AVG_RR,Inter,CTXSW,KBOut,CPU,SUM_RR,PktOut,vm_number,AVG_LAT_05
1566913908,0.275,0.0291015625,18.362605138888885,3111.7875000000013,3367.3875,0.43231201171875,43.162499999999866,73.45577527777778,0.225,4,9453.91225
1566913923,0.25,0.028076171875,19.231147500000002,3683.225,3813.0125,0.4343017578125,51.03750000000011,76.93006666666666,0.2375,4,9453.91225
1566913954,0.2625,0.0285888671875,27.71042466666667,4190.0875,4164.275,0.43369140625,59.21249999999972,110.85131266666666,0.2375,4,9992.58425
1566913969,0.25,0.028076171875,33.076555166666665,4281.85,4242.4125,0.4341552734375,60.7875,132.31281016666668,0.2375,4,17168.822
1566913985,0.25,0.028076171875,35.40749999999999,4183.5250000000015,4215.725,0.43740234375,59.22500000000019,141.63,0.2875,4,17266.57575
1566914000,0.3,0.030126953125,35.1025,2876.0625,3177.4875,0.43609619140625,44.83749999999999,140.41,0.2875,4,11566.156749999998
1566914016,0.2625,0.0285888671875,34.0325,2869.375,3124.1875,0.4336669921875,41.96250000000024,136.13,0.2375,4,11637.0005
1566914031,0.2625,0.0285888671875,33.1125,3210.0375000000013,3400.075,0.4345458984375,46.11249999999988,132.45,0.25,4,10972.0125
1566914047,0.2875,0.029614257812500006,32.4575,3699.775,3801.2375,0.4376220703125,52.62499999999997,129.82999999999998,0.3,4,10927.143
1566914062,0.275,0.029443359375,32.39,4161.45,4107.175,0.433642578125,58.13750000000032,129.56,0.2375,4,16114.054500000002
1566914078,0.2625,0.0289306640625,32.1025,4090.4,4129.3499999999985,0.43232421875,58.97500000000008,128.41,0.2125,4,16144.56175
1566914093,0.2625,0.0285888671875,32.9025,4195.5125,4175.3499999999985,0.43345947265625,60.312499999999936,131.61,0.225,4,16114.054500000002
1566914109,0.2749775067479756,0.029099303656168776,35.2575,4047.412031390583,4092.0220833749872,0.4353556628324004,57.21601644506661,141.03,0.26248125562331304,4,15162.6405
1566914124,0.262518755626688,0.02859097353229406,35.125,3043.668563068921,3298.6593665599685,0.4339801183519118,45.00793488046402,140.5,0.2375150045013504,4,15339.996
1566914140,0.275,0.0291015625,33.742416925830746,3039.05,3403.0250000000005,0.43675537109375,47.43749999999981,134.96966770332298,0.2875,4,21510.188
1566914155,0.2625,0.0285888671875,32.9625,3654.7375,3867.1125,0.43466796875,55.27500000000014,131.85,0.25,4,17229.35625
1566914171,0.275,0.0291015625,32.64,3901.2,4099.05,0.4367919921875,57.97499999999996,130.55999999999997,0.2875,4,21460.5345
1566914186,0.275,0.0291015625,32.7225,4178.1875,4203.525,0.436865234375,59.79999999999993,130.89,0.2875,4,21574.6265
1566914201,0.2875,0.0299560546875,32.76,4102.675,4117.7750000000015,0.4342529296875,58.975000000000115,131.04,0.25,4,19382.648999999998
1566914217,0.2875,0.0299560546875,33.7275,4140.3,4107.3125,0.43341064453125,57.92500000000015,134.91000000000003,0.2375,4,22408.8245
1566914232,0.25,0.028076171875,35.387587075870755,4081.9625,4056.7375,0.434228515625,57.26250000000004,141.55034830348302,0.2375,4,17933.2005
1566914248,0.3,0.030126953125,34.3225,2876.75,3072.0125,0.4381591796875,42.47499999999988,137.29,0.3125,5,18484.91075
1566914263,0.275,0.0291015625,33.6175,2868.175,3031.4,0.43431396484375,41.18749999999999,134.47,0.25,5,18126.4195
1566914279,0.31,0.031357421875,32.4325,3806.27,5265.02,0.432666015625,58.94000000000007,129.73,0.24,5,17160.12775
1566914310,0.3,0.030400390625,18.085963083333333,532.8100000000002,1410.0,0.434072265625,11.419999999999908,90.42982999999998,0.26,5,13914.1432
1566914325,0.29000000000000004,0.030263671875,13.655250916666665,251.53,901.36,0.4323046875,4.729999999999872,68.27627166666666,0.23,5,13897.8622
1566914341,0.28,0.029580078125,10.370539083333334,269.36,944.0,0.431962890625,5.099999999999953,51.85270458333334,0.22,5,12149.3792
1566914356,0.26,0.028486328125,7.415824833333333,252.82,909.97,0.43173828125,4.790000000000107,37.07913333333333,0.21,5,11415.6116
1566914372,0.28,0.029306640625,3.66912125,241.2,880.29,0.432705078125,4.44999999999996,18.345615,0.23,5,10197.4984
1566914387,0.31,0.031083984375,0.588407,260.52,934.25,0.432978515625,5.360000000000098,2.942050833333333,0.23,5,10241.8448
1566914402,0.27,0.029443359375,0.04969520000499991,253.88,925.08,0.43130859375,4.670000000000171,0.2484847500249996,0.2,5,9308.622
1566914418,0.29,0.029716796875000007,0.05,256.76000000000005,916.36,0.4329296875,4.830000000000126,0.25,0.24,5,9258.556
1566914433,0.26,0.028486328125,0.05,244.33,908.54,0.4312890625,4.989999999999867,0.25,0.21,5,7291.0554
1566914449,0.25,0.028076171875,0.3074969,312.57,977.47,0.430908203125,6.1899999999999125,1.5375824166666665,0.2,5,7102.5906
1566914464,0.27,0.028896484375,0.6859999999999999,727.09,1409.89,0.43279296875,12.639999999999675,3.43,0.23,5,7094.0884
1566914480,0.3,0.030126953125,2.3787204567022657,1105.16,1720.53,0.4343359375,16.0,11.893964533511332,0.26,5,7162.7488
1566914495,0.27999400059994,0.029852885805169482,4.4086959203744085,1615.164590540946,2148.5534326567345,0.4324717948127062,22.46150184981514,22.045016268538703,0.21999500049995,5,6983.8380000000025
